edition,year,noc,country_name,gold,silver,bronze,total_medals,iso3,gdp_per_capita,population,gni_per_capita,hdi,eurostat_recreation_pct_gdp,wvs_country,wvs_interpersonal_trust,wvs_confidence_govt,wvs_confidence_parties,wvs_national_pride,wvs_sport_org_membership,ess_social_trust,ess_trust_parliament,ess_trust_legal,ess_news_politics
2020 Summer Olympics,2020,IND,India,1,2,4,7,IND,1907.04251637669,1402617695.0,1900.0,0.638,,IND,1.8231414868105515,2.2123039806996383,2.701226993865031,3.3056379821958455,2.335846470185058,,,,
2020 Summer Olympics,2020,AUT,Austria,1,1,5,7,AUT,48716.4098900349,8916864.0,49000.0,0.916,1.2,,,,,,,4.759,4.858580775037745,6.2870789341377575,37.48740740740741
2020 Summer Olympics,2020,AZE,Azerbaijan,0,3,4,7,AZE,4229.91064904503,10093121.0,4480.0,0.722,,,,,,,,,,,
2020 Summer Olympics,2020,BUL,Bulgaria,3,1,2,6,BGR,10760.211975413,6550696.0,10090.0,0.802,0.8,,,,,,,3.506637168141593,2.337049424005946,2.8970149253731345,34.48743386243386
2020 Summer Olympics,2020,HKG,"Hong Kong, China",1,2,3,6,HKG,46109.2299946609,7481000.0,48550.0,0.955,,HKG,1.6050338818973862,2.500241662638956,2.9523341523341524,2.9541947926711667,2.1349129593810443,,,,
2020 Summer Olympics,2020,EGY,Egypt,1,1,4,6,EGY,3511.11381026379,109315124.0,2960.0,,,EGY,1.926482873851295,,3.7012542759407068,3.4583333333333335,2.8274678111587983,,,,
2020 Summer Olympics,2020,SLO,Slovenia,3,1,1,5,SVN,25392.0651093612,2102419.0,25380.0,0.91,1.5,,,,,,,4.660785886126704,3.8584214808787634,4.307253463732681,31.625374625374626
2020 Summer Olympics,2020,UZB,Uzbekistan,3,0,2,5,UZB,1978.28051860763,33586372.0,2000.0,0.716,,,,,,,,,,,
2020 Summer Olympics,2020,INA,Indonesia,1,1,3,5,IDN,3853.70288774146,274814866.0,3850.0,0.712,,IDN,1.9481087839949984,1.854945054945055,2.7658968680797216,3.381875,2.6324222431668236,,,,
2020 Summer Olympics,2020,COL,Colombia,0,4,1,5,COL,5339.68711357943,50629997.0,5850.0,0.756,,COL,1.9546052631578947,3.1171052631578946,3.3046052631578946,2.9,2.0657894736842106,,,,
2020 Summer Olympics,2020,DOM,Dominican Republic,0,3,2,5,DOM,7135.22273255899,11008300.0,7080.0,0.76,,,,,,,,,,,
2020 Summer Olympics,2020,GRE,Greece,2,1,1,4,GRC,17886.733165236,10698599.0,18030.0,0.887,1.1,GRC,1.9158249158249159,3.346316680779001,3.4352243861134633,2.578333333333333,2.240101095197978,4.415026833631485,4.28602227811714,6.430366116295764,40.28823929299796
2020 Summer Olympics,2020,UGA,Uganda,2,1,1,4,UGA,845.766463890124,44457152.0,820.0,0.545,,,,,,,,,,,
2020 Summer Olympics,2020,IRL,Ireland,2,0,2,4,IRL,86514.0706108754,5039747.0,64420.0,0.945,0.5,,,,,,,5.641113003975014,4.932021466905188,5.728330424665503,34.345195729537366
2020 Summer Olympics,2020,ISR,Israel,2,0,2,4,ISR,44575.5719045492,9215100.0,43370.0,0.906,,,,,,,,4.526477359938603,3.5360185902401238,4.6239316239316235,33.88421052631579
2020 Summer Olympics,2020,ROU,Romania,1,3,0,4,ROU,13009.1770573223,19265250.0,12720.0,0.828,1.0,ROU,1.881260096930533,3.164154103852596,3.438902743142145,3.203225806451613,2.371152154793316,3.7937999060591827,3.8159806295399514,3.7754607177497577,
2020 Summer Olympics,2020,VEN,Venezuela,1,3,0,4,VEN,1506.0436210041,28444077.0,1670.0,0.691,,,,,,,,,,,
2020 Summer Olympics,2020,PHI,Philippines,1,2,1,4,PHL,3227.57910235199,112081264.0,3350.0,0.705,,PHL,1.9465329991645781,1.8833333333333333,2.3291666666666666,3.0183333333333335,2.4825,,,,
2020 Summer Olympics,2020,SVK,Slovakia,1,2,1,4,SVK,19735.4858280801,5458827.0,19420.0,,1.1,SVK,1.7840336134453783,3.1596283783783785,3.210526315789474,2.838358458961474,1.7358649789029537,3.927208480565371,3.3951324266284897,4.0257510729613735,37.23249669749009
2020 Summer Olympics,2020,ETH,Ethiopia,1,1,2,4,ETH,829.790982547947,118917671.0,820.0,0.489,,ETH,1.8809135399673735,2.1934156378600824,2.9891500904159134,2.8101059494702527,2.544995794785534,,,,
2020 Summer Olympics,2020,POR,Portugal,1,1,2,4,PRT,22299.4044062173,10297081.0,21910.0,0.861,0.9,,,,,,,3.851145038167939,4.42970073404856,3.986547085201794,40.925
2020 Summer Olympics,2020,ARM,Armenia,0,2,2,4,ARM,4268.68093304583,2961500.0,4230.0,0.769,,ARM,1.9189189189189189,2.89957805907173,3.4419983065198982,2.5963756177924218,2.495704467353952,,,,
2020 Summer Olympics,2020,MGL,Mongolia,0,1,3,4,MNG,4001.25193077703,3327204.0,3690.0,0.74,,,,,,,,,,,
2020 Summer Olympics,2020,MEX,Mexico,0,0,4,4,MEX,8841.27075039868,126799054.0,8920.0,0.757,,MEX,1.8970080552359034,3.3216340621403915,3.4931034482758623,2.577918343875791,2.45066358915176,,,,
2020 Summer Olympics,2020,ECU,Ecuador,2,1,0,3,ECU,5463.64515348598,17546065.0,5410.0,0.734,,ECU,1.941376380628717,2.911467116357504,3.3089840470193117,2.9040066777963274,2.3786078098471988,,,,
2020 Summer Olympics,2020,QAT,Qatar,2,0,1,3,QAT,51683.5681078949,2794148.0,57730.0,0.863,,,,,,,,,,,
2020 Summer Olympics,2020,RSA,South Africa,1,2,0,3,ZAF,5580.60383075189,60562381.0,5930.0,0.722,,,,,,,,,,,
2020 Summer Olympics,2020,KGZ,Kyrgyzstan,0,2,1,3,KGZ,1229.51766602907,6726596.0,1210.0,,,KGZ,1.8815126050420168,2.520815632965166,2.873166522864538,3.100840336134454,2.714655172413793,,,,
2020 Summer Olympics,2020,ARG,Argentina,0,1,2,3,ARG,8535.59938004389,45191965.0,9040.0,0.841,,ARG,1.7930672268907564,2.93502538071066,3.2577639751552794,2.5734265734265733,2.09853249475891,,,,
2020 Summer Olympics,2020,SMR,San Marino,0,1,2,3,SMR,44326.9556746411,34770.0,40540.0,0.844,,,,,,,,,,,
2020 Summer Olympics,2020,KOS,Kosovo,2,0,0,2,XKX,4310.88963754863,1790151.0,4440.0,,,,,,,,,3.640527950310559,2.634920634920635,2.700806451612903,
2020 Summer Olympics,2020,BAH,The Bahamas,2,0,0,2,BHS,26178.7537607708,395863.0,25180.0,,,,,,,,,,,,
2020 Summer Olympics,2020,TUN,Tunisia,1,1,0,2,TUN,3548.65363663803,11974057.0,3270.0,0.734,,TUN,1.8575085324232081,3.404560810810811,3.5637130801687764,3.416943521594684,2.692236598890943,,,,
2020 Summer Olympics,2020,EST,Estonia,1,0,1,2,EST,23933.9939421065,1329522.0,23580.0,0.891,2.0,,,,,,,5.766385463984426,5.060407091267236,6.294736842105263,36.83888888888889
2020 Summer Olympics,2020,FIJ,Fiji,1,0,1,2,FJI,4620.6457238014,914963.0,4560.0,0.722,,,,,,,,,,,
2020 Summer Olympics,2020,LAT,Latvia,1,0,1,2,LVA,17564.2321549354,1900449.0,17350.0,0.873,1.4,,,,,,,3.4622918707149855,3.310717797443461,4.574237954768928,30.093484419263458
2020 Summer Olympics,2020,THA,Thailand,1,0,1,2,THA,6985.64393892574,71641484.0,6900.0,0.8,,THA,1.6863157894736842,2.4024745269286756,2.6543026706231454,3.0062154696132595,2.4732262382864794,,,,
2020 Summer Olympics,2020,JOR,Jordan,0,1,1,2,JOR,4022.0401356135,10865228.0,4070.0,0.74,,JOR,1.8403010033444815,2.8103616813294234,3.579175704989154,3.6914095079232694,2.705161854768154,,,,
